id,Intensity,MedianWaveNumber,scoville_median
Anah,531,0.00811283,1500
Anah,532,0.00821685,1500
Anah,533,0.00834747,1500
Anah,534,0.00849216,1500
Anah,535,0.00868454,1500
Anah,536,0.00896356,1500
Anah,537,0.0092734,1500
Anah,538,0.00957634,1500
Anah,539,0.00970123,1500
Anah,540,0.00969535,1500
Anah,541,0.00960582,1500
Anah,542,0.00952752,1500
Anah,543,0.00947878,1500
Anah,544,0.0094902,1500
Anah,545,0.00954975,1500
Anah,546,0.00960177,1500
Anah,547,0.00965029,1500
Anah,548,0.00964322,1500
Anah,549,0.00958332,1500
Anah,550,0.00944958,1500
Anah,551,0.00931999,1500
Anah,552,0.0092289,1500
Anah,553,0.00918055,1500
Anah,554,0.00920806,1500
Anah,555,0.00925397,1500
Anah,556,0.00933522,1500
Anah,557,0.00938841,1500
Anah,558,0.00940284,1500
Anah,559,0.0093995,1500
Anah,560,0.00940539,1500
Anah,561,0.00949376,1500
Anah,562,0.00965005,1500
Anah,563,0.00983506,1500
Anah,564,0.00997399,1500
Anah,565,0.00996334,1500
Anah,566,0.00989875,1500
Anah,567,0.00991432,1500
Anah,568,0.00991589,1500
Anah,569,0.00992932,1500
Anah,570,0.00988549,1500
Anah,571,0.00982751,1500
Anah,572,0.00971035,1500
Anah,573,0.00960946,1500
Anah,574,0.00952262,1500
Anah,575,0.00948167,1500
Anah,576,0.00952009,1500
Anah,577,0.00963504,1500
Anah,578,0.00979252,1500
Anah,579,0.00992877,1500
Anah,580,0.00999882,1500
Anah,581,0.0100471,1500
Anah,582,0.0101515,1500
Anah,583,0.0102296,1500
Anah,584,0.0102762,1500
Anah,585,0.0102748,1500
Anah,586,0.0102469,1500
Anah,587,0.0102516,1500
Anah,588,0.010318,1500
Anah,589,0.0103808,1500
Anah,590,0.0103759,1500
Anah,591,0.0103589,1500
Anah,592,0.0104064,1500
Anah,593,0.0105088,1500
Anah,594,0.0106163,1500
Anah,595,0.0106806,1500
Anah,596,0.0107449,1500
Anah,597,0.0107991,1500
Anah,598,0.0107896,1500
Anah,599,0.0106694,1500
Anah,600,0.0104843,1500
Anah,601,0.0103222,1500
Anah,602,0.0102326,1500
Anah,603,0.0101359,1500
Anah,604,0.0100527,1500
Anah,605,0.00996247,1500
Anah,606,0.00990764,1500
Anah,607,0.00990988,1500
Anah,608,0.00992314,1500
Anah,609,0.00989444,1500
Anah,610,0.00986045,1500
Anah,611,0.0097902,1500
Anah,612,0.00972291,1500
Anah,613,0.00974415,1500
Anah,614,0.00982721,1500
Anah,615,0.00992517,1500
Anah,616,0.00994496,1500
Anah,617,0.00994496,1500
Anah,618,0.00994496,1500
Anah,619,0.00996316,1500
Anah,620,0.00998902,1500
Anah,621,0.00998111,1500
Anah,622,0.0099633,1500
Anah,623,0.00993427,1500
Anah,624,0.00990402,1500
Anah,625,0.00981249,1500
Anah,626,0.00970857,1500
Anah,627,0.00952061,1500
Anah,628,0.00930922,1500
Anah,629,0.00903912,1500
Anah,630,0.00884357,1500
Anah,631,0.00866958,1500
Anah,632,0.00858022,1500
Anah,633,0.00851974,1500
Anah,634,0.00860393,1500
Anah,635,0.00870273,1500
Anah,636,0.00881549,1500
Anah,637,0.0088264,1500
Anah,638,0.00879302,1500
Anah,639,0.00881966,1500
Anah,640,0.00892293,1500
Anah,641,0.00911831,1500
Anah,642,0.00924339,1500
Anah,643,0.00933107,1500
Anah,644,0.00935278,1500
Anah,645,0.00932133,1500
Anah,646,0.00926731,1500
Anah,647,0.00917421,1500
Anah,648,0.00908783,1500
Anah,649,0.00894914,1500
Anah,650,0.00879368,1500
Anah,651,0.008713,1500
Anah,652,0.00864999,1500
Anah,653,0.00858864,1500
Anah,654,0.00853882,1500
Anah,655,0.0085196,1500
Anah,656,0.00861183,1500
Anah,657,0.00871466,1500
Anah,658,0.00881662,1500
Anah,659,0.00894416,1500
Anah,660,0.00903102,1500
Anah,661,0.00914687,1500
Anah,662,0.00924333,1500
Anah,663,0.00940608,1500
Anah,664,0.00960665,1500
Anah,665,0.00980316,1500
Anah,666,0.00993191,1500
Anah,667,0.00995806,1500
Anah,668,0.00990929,1500
Anah,669,0.00982461,1500
Anah,670,0.00980119,1500
Anah,671,0.00984401,1500
Anah,672,0.00990127,1500
Anah,673,0.00989766,1500
Anah,674,0.009824,1500
Anah,675,0.00975233,1500
Anah,676,0.00971715,1500
Anah,677,0.00968664,1500
Anah,678,0.0096097,1500
Anah,679,0.0094939,1500
Anah,680,0.00933747,1500
Anah,681,0.00914748,1500
Anah,682,0.00895924,1500
Anah,683,0.00883238,1500
Anah,684,0.00879082,1500
Anah,685,0.00883468,1500
Anah,686,0.00889359,1500
Anah,687,0.00888305,1500
Anah,688,0.0087766,1500
Anah,689,0.00863225,1500
Anah,690,0.00853028,1500
Anah,691,0.00843031,1500
Anah,692,0.00838338,1500
Anah,693,0.00830782,1500
Anah,694,0.00830738,1500
Anah,695,0.00835584,1500
Anah,696,0.00845602,1500
Anah,697,0.00853887,1500
Anah,698,0.00858869,1500
Anah,699,0.00863104,1500
Anah,700,0.00865731,1500
Anah,701,0.00868863,1500
Anah,702,0.00864876,1500
Anah,703,0.00858228,1500
Anah,704,0.00847156,1500
Anah,705,0.00838654,1500
Anah,706,0.00833607,1500
Anah,707,0.00840246,1500
Anah,708,0.00850301,1500
Anah,709,0.00859269,1500
Anah,710,0.00860547,1500
Anah,711,0.00854207,1500
Anah,712,0.00843408,1500
Anah,713,0.00829997,1500
Anah,714,0.00818626,1500
Anah,715,0.00810848,1500
Anah,716,0.00811355,1500
Anah,717,0.0081785,1500
Anah,718,0.00834821,1500
Anah,719,0.00854118,1500
Anah,720,0.00874747,1500
Anah,721,0.0088853,1500
Anah,722,0.00898792,1500
Anah,723,0.00901302,1500
Anah,724,0.00894981,1500
Anah,725,0.00875657,1500
Anah,726,0.00853146,1500
Anah,727,0.00836085,1500
Anah,728,0.00824733,1500
Anah,729,0.00815418,1500
Anah,730,0.00801615,1500
Anah,731,0.00789374,1500
Anah,732,0.00775396,1500
Anah,733,0.00766682,1500
Anah,734,0.00764346,1500
Anah,735,0.00770127,1500
Anah,736,0.00773935,1500
Anah,737,0.00770013,1500
Anah,738,0.00760035,1500
Anah,739,0.00755248,1500
Anah,740,0.00758409,1500
Anah,741,0.00770469,1500
Anah,742,0.00776301,1500
Anah,743,0.00777617,1500
Anah,744,0.00771212,1500
Anah,745,0.00764516,1500
Anah,746,0.00756074,1500
Anah,747,0.00742604,1500
Anah,748,0.0073049,1500
Anah,749,0.00720013,1500
Anah,750,0.00714789,1500
Anah,751,0.00715562,1500
Anah,752,0.00717138,1500
Anah,753,0.00716427,1500
Anah,754,0.00704406,1500
Anah,755,0.00689658,1500
Anah,756,0.00680253,1500
