Mean,SD,SE,LowerCI,UpperCI,WaveNumber,Significant,times_selected
0,0,0,0,0,157,No,0
0,0,0,0,0,158,No,0
-0.0292709204615392,1.20467307731266,0.0170366500416129,-0.0626702276127649,0.0041283866896865,159,No,3
0,0,0,0,0,160,No,0
0,0,0,0,0,161,No,0
0,0,0,0,0,162,No,0
-0.256395729865915,10.1289069164418,0.143244375332466,-0.537217539184571,0.0244260794527404,163,No,5
-0.0794052864344784,5.61480164998799,0.0794052864344784,-0.235074478709858,0.0762639058409011,164,No,1
-0.119291088782957,7.25194719385127,0.10255802075158,-0.320349796189469,0.0817676186235544,165,No,7
-0.0907940320103676,3.08526315979516,0.0436322100407239,-0.176332302813456,-0.0052557612072795,166,Yes,11
-0.62513466890768,7.67995643275206,0.108610985456325,-0.838059842248251,-0.412209495567108,167,Yes,78
0,0,0,0,0,168,No,0
0,0,0,0,0,169,No,0
0,0,0,0,0,170,No,0
0,0,0,0,0,171,No,0
0,0,0,0,0,172,No,0
-0.300983089023324,9.41328628978307,0.133123971375119,-0.561964467304171,-0.0400017107424781,173,Yes,18
-0.077780511393384,2.12132965962794,0.0300001317491014,-0.13659392907926,-0.0189670937075082,174,Yes,12
-0.0133273411454348,0.670239616441503,0.00947861955611315,-0.0319095932402407,0.00525491094937111,175,No,2
0,0,0,0,0,176,No,0
0,0,0,0,0,177,No,0
0,0,0,0,0,178,No,0
0.0530323849464809,1.71533362494225,0.0242584807638793,0.00547512174767662,0.100589648145285,179,Yes,7
0.120570320135567,5.35965063086337,0.075796906117485,-0.0280248639145255,0.26916550418566,180,No,3
0.125346972167705,6.47851770761288,0.0916200760618039,-0.054268565753924,0.304962510089333,181,No,2
0.00550456444639551,0.389231484752464,0.00550456444639551,-0.00528679642735724,0.0162959253201483,182,No,1
